Run   Combination (x1,x2,x3,...)                                                       R_c_ass (AC)              Porosity_ass (AC)         eval (f)                  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
59    (5,4,5,2,2,2,2,3,33,100)                                                         11.542130                 0.674805                  10.867325                
60    (4,3,1,1,2,2,2,3,36,1850)                                                        13.140568                 0.733409                  12.407159                
61    (2,3,4,2,1,2,3,2,45,4900)                                                        12.680527                 0.718278                  11.962250                
62    (5,3,2,1,2,2,2,4,34,2850)                                                        12.561228                 0.714674                  11.846554                
63    (4,4,3,2,3,2,2,3,7,6400)                                                         10.281806                 0.624110                  9.657696                 
64    (3,4,4,1,3,3,2,2,36,3800)                                                        10.914299                 0.643461                  10.270839                
65    (5,4,1,2,2,1,3,3,23,8500)                                                        8.783042                  0.592623                  8.190419                 
66    (3,4,2,2,2,2,3,1,33,7050)                                                        8.985128                  0.596317                  8.388811                 
67    (4,3,3,2,3,3,1,4,33,2900)                                                        13.178692                 0.734771                  12.443922                
68    (5,1,3,2,3,2,2,2,35,800)                                                         11.945323                 0.854146                  11.091177                
69    (3,3,5,1,2,3,3,2,3,50)                                                           13.612880                 0.751903                  12.860977                
70    (4,5,5,3,3,2,2,1,11,2300)                                                        11.487000                 0.803146                  10.683853                
71    (2,2,2,2,1,1,1,2,10,5900)                                                        7.689649                  0.742187                  6.947462                 
72    (2,5,2,2,3,1,1,1,46,7400)                                                        9.608317                  0.744610                  8.863706                 
73    (4,2,4,3,1,2,2,2,27,1500)                                                        9.467017                  0.779203                  8.687814                 
74    (5,4,3,2,3,3,2,3,34,1600)                                                        11.373615                 0.664101                  10.709514                
75    (6,3,5,2,2,3,2,2,34,3850)                                                        12.388660                 0.709646                  11.679015                
76    (2,2,5,2,1,2,2,1,4,1050)                                                         9.441192                  0.778644                  8.662548                 
77    (3,2,4,2,3,2,1,2,13,4950)                                                        8.688353                  0.762767                  7.925586                 
78    (4,1,4,2,2,1,2,1,14,3450)                                                        11.498840                 0.842722                  10.656119                
79    (2,3,3,3,1,1,1,2,45,7550)                                                        12.014664                 0.699367                  11.315297                
80    (3,4,4,2,2,2,1,1,13,2700)                                                        11.148364                 0.652879                  10.495485                
81    (2,5,4,3,2,1,3,3,13,7900)                                                        10.558135                 0.777202                  9.780933                 
82    (4,4,3,3,2,1,1,3,34,2400)                                                        11.248090                 0.657518                  10.590572                
83    (2,2,5,1,1,2,1,3,32,1200)                                                        9.392576                  0.777594                  8.614982                 
84    (4,4,4,3,1,2,1,1,35,11000)                                                       8.817243                  0.593242                  8.224001                 
85    (1,4,3,2,1,1,1,1,43,6700)                                                        10.187049                 0.621689                  9.565360                 
86    (5,5,3,2,2,3,3,2,36,5050)                                                        11.310689                 0.797871                  10.512818                
87    (2,1,4,1,3,2,1,4,2,1350)                                                         11.855231                 0.851764                  11.003467                
88    (5,2,1,1,2,3,3,4,29,6700)                                                        7.702518                  0.742452                  6.960066                 
89    (5,3,2,1,2,3,2,3,46,1350)                                                        13.139930                 0.733387                  12.406543                
90    (5,3,5,1,2,2,1,2,6,2900)                                                         12.733898                 0.719927                  12.013971                
91    (4,2,2,2,1,3,1,1,28,1700)                                                        9.134583                  0.772091                  8.362492                 
92    (2,3,4,2,3,1,2,2,47,4000)                                                        12.897424                 0.725141                  12.172283                
93    (3,3,5,2,2,1,1,4,11,4200)                                                        12.259020                 0.705995                  11.553025                
94    (5,3,4,1,2,3,2,3,27,11150)                                                       10.856116                 0.670900                  10.185215                
95    (2,3,3,2,2,2,3,1,7,10700)                                                        11.022974                 0.674802                  10.348172                
96    (5,1,2,2,2,3,2,3,38,9450)                                                        9.029674                  0.759085                  8.270589                 
97    (3,2,1,3,1,2,2,2,17,950)                                                         9.492908                  0.779765                  8.713143                 
98    (6,4,4,2,1,2,2,2,10,5050)                                                        10.593805                 0.632833                  9.960972                 
99    (1,4,4,1,1,2,3,3,49,4750)                                                        10.674498                 0.635320                  10.039179                
100   (3,5,4,2,2,1,1,3,35,4950)                                                        11.275494                 0.796841                  10.478653                
101   (1,2,4,3,3,2,2,3,42,11700)                                                       7.064375                  0.725995                  6.338380                 
102   (6,1,3,1,1,2,2,3,35,2850)                                                        11.651290                 0.846521                  10.804769                
103   (1,2,4,2,3,1,3,3,34,1300)                                                        9.507981                  0.780093                  8.727888                 
104   (4,2,2,3,2,2,2,1,27,9600)                                                        6.733389                  0.708906                  6.024483                 
105   (6,1,5,3,3,3,2,3,11,550)                                                         11.908151                 0.853158                  11.054994                
106   (6,4,4,1,1,3,3,1,26,11550)                                                       8.661435                  0.590438                  8.070997                 
107   (1,2,2,3,1,1,2,1,29,9650)                                                        6.722464                  0.708349                  6.014115                 
108   (2,2,3,3,1,2,2,2,42,11550)                                                       7.116390                  0.728545                  6.387845                 
109   (3,4,3,2,2,2,2,4,11,9200)                                                        9.408482                  0.604434                  8.804048                 
110   (6,4,1,2,2,2,1,3,26,7300)                                                        9.183375                  0.600043                  8.583332                 
111   (3,2,4,2,1,2,3,3,40,11850)                                                       7.038018                  0.724636                  6.313382                 
112   (5,1,2,2,2,3,2,4,19,6750)                                                        9.797237                  0.793971                  9.003265                 
113   (1,2,1,2,3,2,1,4,27,6000)                                                        7.917120                  0.746880                  7.170240                 
114   (2,1,1,2,3,3,3,2,37,3050)                                                        11.253971                 0.836800                  10.417171                
115   (2,3,2,2,1,1,2,3,11,2350)                                                        12.756466                 0.720632                  12.035834                
116   (1,4,2,3,1,3,1,3,32,5950)                                                        9.355130                  0.603375                  8.751755                 
117   (5,4,4,3,3,1,3,4,1,8500)                                                         9.560479                  0.607518                  8.952961                 
118   (3,1,2,2,2,2,2,2,27,11900)                                                       8.394229                  0.729946                  7.664283                 
119   (3,3,3,2,3,1,1,2,28,4050)                                                        12.943567                 0.726659                  12.216908                
120   (2,1,3,3,1,3,1,3,2,2700)                                                         11.675180                 0.847125                  10.828054                
121   (5,4,5,3,3,3,1,3,44,4200)                                                        10.225743                 0.622667                  9.603076                 
122   (5,2,2,2,2,2,1,2,42,1150)                                                        9.334391                  0.776344                  8.558048                 
123   (2,5,4,2,2,3,2,2,39,7550)                                                        10.651340                 0.779608                  9.871732                 
124   (4,5,3,2,2,3,2,3,39,4550)                                                        11.413838                 0.800933                  10.612905                
125   (3,2,4,2,2,2,2,2,20,10650)                                                       7.271403                  0.733880                  6.537523                 
126   (2,4,2,3,2,3,3,3,8,5100)                                                         9.667047                  0.609748                  9.057299                 
127   (2,2,5,1,2,2,2,3,18,10650)                                                       6.638426                  0.704043                  5.934382                 
128   (2,3,5,2,3,2,2,3,33,2700)                                                        12.804495                 0.722147                  12.082347                
129   (1,4,1,2,1,2,2,2,46,9600)                                                        8.442079                  0.586547                  7.855533                 
130   (3,5,3,2,1,3,2,2,5,10350)                                                        9.908487                  0.758411                  9.150076                 
131   (4,4,2,2,2,3,2,1,38,5150)                                                        9.657895                  0.609554                  9.048342                 
132   (1,3,3,1,2,1,3,2,3,7100)                                                         12.148860                 0.702969                  11.445891                
133   (5,2,2,3,2,3,1,3,39,1100)                                                        9.352959                  0.776742                  8.576217                 
134   (6,5,4,2,2,1,3,3,23,3050)                                                        11.647834                 0.808145                  10.839690                
135   (3,1,4,2,3,2,3,1,4,7150)                                                         10.679005                 0.823742                  9.855263                 
136   (4,4,3,2,3,3,1,2,43,6250)                                                        10.326722                 0.625291                  9.701432                 
137   (3,3,3,3,2,3,2,2,9,11000)                                                        10.923501                 0.672471                  10.251030                
138   (5,4,2,2,3,2,2,3,6,7950)                                                         8.678068                  0.590735                  8.087333                 
139   (3,2,3,2,2,1,2,2,14,6050)                                                        8.483866                  0.758546                  7.725320                 
140   (1,4,3,2,1,1,1,4,17,7650)                                                        9.897867                  0.614805                  9.283062                 
141   (4,4,1,2,2,1,3,2,31,1100)                                                        11.323541                 0.661361                  10.662180                
142   (3,3,3,1,2,2,2,3,34,550)                                                         13.555231                 0.749425                  12.805806                
143   (3,4,3,2,2,3,1,2,50,9050)                                                        9.455468                  0.605376                  8.850093                 
144   (3,5,4,2,2,3,1,1,49,3900)                                                        11.483472                 0.803039                  10.680433                
145   (1,3,4,3,1,2,2,2,38,850)                                                         13.502061                 0.747202                  12.754858                
146   (1,2,3,3,2,2,2,4,15,11100)                                                       7.209329                  0.732203                  6.477127                 
147   (5,4,4,1,2,3,2,2,48,650)                                                         11.486733                 0.670989                  10.815744                
148   (5,3,1,2,2,3,3,2,21,900)                                                         13.408659                 0.743431                  12.665227                
149   (4,5,1,2,2,3,2,1,12,6950)                                                        10.002739                 0.762433                  9.240306                 
150   (2,2,2,2,2,2,2,2,31,5300)                                                        7.880399                  0.746122                  7.134277                 
151   (2,2,4,1,3,2,2,3,2,350)                                                          9.695677                  0.784213                  8.911464                 
152   (2,4,5,3,2,2,2,2,3,650)                                                          11.414545                 0.666472                  10.748073                
153   (5,4,2,3,1,2,2,1,9,2950)                                                         10.501868                 0.630126                  9.871742                 
154   (2,2,2,2,1,1,1,2,11,1600)                                                        9.168534                  0.772809                  8.395725                 
155   (1,5,2,1,2,3,3,4,37,7550)                                                        9.555211                  0.742261                  8.812950                 
156   (2,3,4,2,1,2,3,3,23,5750)                                                        12.459111                 0.711674                  11.747437                
157   (5,4,3,2,2,1,2,2,42,1400)                                                        11.401691                 0.665714                  10.735977                
158   (4,1,1,2,1,3,2,2,20,5250)                                                        10.526594                 0.820617                  9.705977                 
159   (5,2,2,2,3,2,3,4,43,10850)                                                       6.462185                  0.694829                  5.767356                 
160   (4,4,2,2,2,1,2,3,37,6800)                                                        9.056844                  0.597651                  8.459192                 
161   (4,3,4,2,3,3,2,3,29,8750)                                                        11.588954                 0.688453                  10.900501                
162   (2,1,3,3,2,1,2,2,9,11750)                                                        9.565472                  0.783179                  8.782293                 
163   (4,4,5,1,2,1,1,1,26,7100)                                                        9.182855                  0.600033                  8.582822                 
164   (1,4,1,2,2,2,2,3,24,6050)                                                        9.626562                  0.608894                  9.017669                 
165   (4,3,4,3,2,1,2,3,20,6450)                                                        12.266760                 0.706210                  11.560550                
166   (1,3,4,2,2,3,3,2,6,7250)                                                         12.037681                 0.699979                  11.337703                
167   (2,1,4,3,2,2,1,3,14,9200)                                                        10.165668                 0.811598                  9.354070                 
168   (4,3,3,1,1,1,2,3,17,7200)                                                        12.119163                 0.702164                  11.416999                
169   (5,2,4,2,3,3,2,4,19,8650)                                                        7.768644                  0.743814                  7.024830                 
170   (1,1,2,3,2,3,3,4,9,5250)                                                         10.224188                 0.813719                  9.410469                 
171   (5,4,5,3,2,3,3,3,16,7750)                                                        8.951049                  0.595687                  8.355361                 
172   (5,4,1,3,2,2,1,1,14,2150)                                                        11.022555                 0.647597                  10.374958                
173   (3,3,3,3,1,1,2,1,41,10500)                                                       11.086810                 0.676307                  10.410503                
174   (4,4,2,3,2,3,2,2,17,3100)                                                        10.437958                 0.628316                  9.809642                 
175   (3,2,4,1,2,2,2,1,44,4300)                                                        8.843071                  0.765978                  8.077092                 
176   (2,5,2,2,1,3,1,1,14,3650)                                                        10.851234                 0.784927                  10.066308                
177   (4,2,3,1,1,3,3,3,39,11650)                                                       7.097438                  0.727644                  6.369794                 
178   (4,4,4,2,2,3,1,1,30,2350)                                                        11.216637                 0.656005                  10.560631                
179   (6,3,4,1,3,3,1,3,1,1200)                                                         13.446196                 0.744927                  12.701269                
180   (4,4,4,2,3,1,2,2,36,8350)                                                        9.607227                  0.608489                  8.998738                 
181   (4,4,1,1,2,1,2,3,1,1150)                                                         11.310587                 0.660678                  10.649909                
182   (2,2,4,2,1,2,2,2,35,2450)                                                        9.265400                  0.774868                  8.490532                 
183   (5,4,3,1,2,2,3,3,44,7300)                                                        10.007316                 0.617330                  9.389986                 
184   (4,3,3,2,1,2,3,2,23,8500)                                                        11.721450                 0.691776                  11.029673                
185   (3,2,1,2,3,3,3,2,31,10650)                                                       6.683651                  0.706365                  5.977287                 
186   (5,4,3,1,1,2,2,3,29,7250)                                                        10.022831                 0.617696                  9.405136                 
187   (5,1,4,1,2,3,3,3,13,10350)                                                       9.935934                  0.800749                  9.135185                 
188   (4,4,4,2,2,3,3,2,40,8150)                                                        9.669309                  0.609796                  9.059513                 
189   (4,2,2,2,2,2,1,3,15,9400)                                                        6.767292                  0.710634                  6.056658                 
190   (4,3,1,3,2,1,2,1,46,6450)                                                        11.511659                 0.686540                  10.825119                
191   (3,3,2,3,3,1,1,3,15,150)                                                         13.573973                 0.750223                  12.823750                
192   (2,4,4,2,1,1,2,2,28,2400)                                                        11.212596                 0.655814                  10.556781                
193   (3,3,5,2,1,2,3,3,18,5250)                                                        11.864097                 0.695425                  11.168672                
194   (2,4,3,1,2,1,1,3,13,6700)                                                        10.191626                 0.621804                  9.569822                 
195   (5,4,2,3,2,2,1,4,27,4650)                                                        9.837308                  0.613445                  9.223862                 
196   (2,2,5,2,2,1,1,2,6,7800)                                                         7.305560                  0.734626                  6.570934                 
197   (3,1,3,2,2,1,2,2,8,7000)                                                         10.781530                 0.825955                  9.955574                 
198   (1,4,4,2,2,2,2,2,6,9250)                                                         9.328918                  0.602860                  8.726059                 
199   (3,3,1,2,1,3,3,3,16,2150)                                                        13.048159                 0.730186                  12.317973                
200   (4,1,2,1,1,1,2,4,40,6050)                                                        9.993476                  0.803620                  9.189856                 
201   (2,2,5,1,2,2,2,2,26,4650)                                                        8.272819                  0.754204                  7.518614                 
202   (6,2,4,2,3,2,3,2,44,11700)                                                       7.064061                  0.725979                  6.338082                 
203   (4,2,5,2,3,1,2,4,50,11250)                                                       6.512595                  0.697498                  5.815096                 
204   (1,2,3,2,3,2,1,4,18,10700)                                                       7.303517                  0.734583                  6.568934                 
205   (6,3,2,2,3,2,1,2,12,5350)                                                        11.586238                 0.688385                  10.897853                
206   (5,1,4,1,2,2,2,4,26,9000)                                                        10.208364                 0.813185                  9.395179                 
207   (4,3,5,3,2,2,3,3,18,10950)                                                       9.912488                  0.647439                  9.265050                 
208   (1,1,2,2,2,3,2,1,43,4550)                                                        10.470214                 0.819508                  9.650706                 
209   (2,5,1,3,1,2,1,3,14,1450)                                                        11.769439                 0.812060                  10.957379                
210   (4,1,2,3,2,3,1,2,43,6300)                                                        9.923235                  0.800118                  9.123117                 
211   (3,5,4,2,2,1,2,2,30,4150)                                                        11.441800                 0.801775                  10.640025                
212   (2,2,4,2,2,2,3,2,37,10200)                                                       7.381043                  0.736089                  6.644954                 
213   (5,1,4,2,3,2,2,3,17,2250)                                                        11.715404                 0.848148                  10.867256                
214   (4,3,4,1,2,1,1,2,1,2550)                                                         13.205511                 0.735740                  12.469771                
215   (3,3,3,3,2,2,3,4,11,6400)                                                        12.349781                 0.708540                  11.641241                
216   (2,4,4,2,2,1,3,3,25,1100)                                                        11.426213                 0.667171                  10.759042                
217   (3,4,4,1,1,2,2,2,3,2950)                                                         11.103621                 0.650934                  10.452687                
218   (2,3,2,3,1,2,2,3,27,7650)                                                        10.748726                 0.668409                  10.080316                
219   (3,5,3,2,1,3,3,1,15,1350)                                                        11.932368                 0.817518                  11.114851                
220   (3,2,3,1,2,3,1,4,36,7300)                                                        8.171534                  0.752122                  7.419413                 
221   (2,2,2,1,3,3,1,2,45,10650)                                                       6.501282                  0.696902                  5.804380                 
222   (2,2,4,1,1,2,1,2,3,5900)                                                         8.455910                  0.757971                  7.697939                 
223   (5,2,4,3,1,2,2,4,17,3750)                                                        8.972629                  0.768683                  8.203945                 
224   (1,3,4,3,2,2,2,2,21,9150)                                                        11.466872                 0.685440                  10.781432                
225   (6,3,4,1,3,2,3,3,4,11450)                                                        10.765732                 0.668803                  10.096929                
226   (4,5,3,2,2,1,1,2,5,7750)                                                         10.645624                 0.779459                  9.866166                 
227   (4,3,4,2,3,2,1,4,5,5800)                                                         12.444914                 0.711262                  11.733652                
228   (3,2,1,2,3,2,2,2,46,5250)                                                        8.151013                  0.751699                  7.399314                 
229   (3,4,1,1,3,3,3,3,49,2250)                                                        10.990516                 0.646337                  10.344178                
230   (4,5,1,3,2,2,3,4,21,5300)                                                        10.570045                 0.777506                  9.792539                 
231   (6,2,2,2,2,2,3,1,16,5850)                                                        7.714696                  0.742702                  6.971994                 
232   (4,4,4,1,3,3,3,2,28,10350)                                                       8.995453                  0.596508                  8.398945                 
233   (3,4,2,2,2,2,3,1,40,8650)                                                        8.477499                  0.587172                  7.890327                 
234   (2,3,4,1,2,2,1,3,41,7450)                                                        11.978945                 0.698423                  11.280522                
235   (4,5,4,1,3,2,3,3,43,1100)                                                        11.953240                 0.818236                  11.135004                
236   (4,2,4,2,2,3,2,1,40,1400)                                                        9.486354                  0.779622                  8.706732                 
237   (5,3,2,3,2,3,2,3,2,6900)                                                         11.013137                 0.674571                  10.338565                
238   (2,3,3,1,1,3,1,3,46,5550)                                                        12.581026                 0.715264                  11.865761                
239   (2,2,5,1,1,2,3,4,2,6600)                                                         7.662404                  0.741628                  6.920776                 
240   (6,4,3,2,3,3,3,1,3,500)                                                          11.509996                 0.672550                  10.837445                
241   (1,4,2,3,2,2,3,2,35,6950)                                                        9.005189                  0.596689                  8.408500                 
242   (5,3,4,2,2,1,2,2,27,7550)                                                        11.949645                 0.697653                  11.251993                
243   (6,3,1,3,1,2,3,3,27,5850)                                                        11.727291                 0.691924                  11.035366                
244   (5,1,3,1,2,2,2,4,26,2000)                                                        11.782329                 0.849867                  10.932462                
245   (1,3,4,1,3,1,2,3,4,9050)                                                         11.497292                 0.686186                  10.811106                
246   (2,3,3,1,2,2,2,1,12,9500)                                                        11.403604                 0.683895                  10.719709                
247   (2,4,2,2,1,2,2,2,7,3500)                                                         10.281207                 0.624094                  9.657113                 
248   (4,5,1,2,2,3,2,3,50,6150)                                                        10.268997                 0.770159                  9.498838                 
249   (2,4,4,3,3,3,1,2,4,2850)                                                         11.124269                 0.651822                  10.472447                
250   (5,1,2,1,3,3,2,4,3,2350)                                                         11.247178                 0.836639                  10.410540                
251   (1,2,2,1,3,2,3,2,34,9750)                                                        6.690132                  0.706696                  5.983435                 
252   (5,3,4,2,1,2,2,1,18,850)                                                         13.499687                 0.747105                  12.752582                
253   (4,3,2,1,2,2,3,4,8,2350)                                                         12.756706                 0.720640                  12.036066                
254   (4,5,4,2,3,3,2,2,33,11700)                                                       9.596545                  0.744087                  8.852458                 
255   (5,5,4,2,2,1,3,4,38,6900)                                                        10.817787                 0.784023                  10.033764                
